DATA,HORA,CONCESSIONARIA,RODOVIA,KM,SENTIDO,LATITUDE,LONGITUDE,CLASSE,SUBCLASSE,CAUSA_PROVAVEL,VITIMA_ILESA,VITIMA_LEVE,VITIMA_MODERADA,VITIMA_GRAVE,VITIMA_FATAL,VEICULOS_ENVOLVIDOS,MUNICIPIO,REGIAO_ADMINISTRATIVA,REGIONAL_DER,JURISDICAO
2020-07-15,10:41:00,L28-ENTREVIAS,SP330,380.0,SUL,-20.5838678237,-47.8773694999,OBJETO LANÇADO CONTRA O VEÍCULO,OBJETO LANÇADO CONTRA VEÍCULO,OBJETO LANÇADO-TERCEIROS,1,0,0,0,0,CAMIONETA / UTILITÁRIO=1,SÃO JOAQUIM DA BARRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-15,12:48:00,L28-ENTREVIAS,SPA355/330,4.2,LESTE,-20.7826217263,-47.8556261584,TOMBAMENTO,TOMBAMENTO-VEÍCULOS PESADOS,ESTOURO/FURO DE PNEU,1,0,0,0,0,CAMINHÃO=1,SALES OLIVEIRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-15,14:22:00,L01-AUTOBAN,SP330,152.3,NORTE,-22.511224303835,-47.396444331516,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,CARRETA=2,LIMEIRA,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-15,15:49:00,L06-INTERVIAS,SP330,200.2,NORTE,-22.0860405,-47.41989899,COLISÃO,COLISÃO-TRASEIRA,IMPRUD. CONDUTOR,1,1,0,0,0,CAMINHÃO=1|MOTO=1,SANTA CRUZ DA CONCEIÇÃO,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-15,18:11:00,L01-AUTOBAN,SPM330D,96.18,NORTE,-22.910123061679,-47.102554466292,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,1,0,0,AUTOMÓVEL=1|MOTO=1,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-15,18:22:00,L06-INTERVIAS,SP330,199.5,SUL,-22.09210014,-47.41825104,OBJETO LANÇADO CONTRA O VEÍCULO,OBJETO LANÇADO CONTRA VEÍCULO,OBJETO LANÇADO,1,0,0,0,0,AUTOMÓVEL=1,SANTA CRUZ DA CONCEIÇÃO,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-15,18:25:00,L01-AUTOBAN,SP330,24.5,NORTE,-23.430333403917,-46.786914415451,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1|NÃO INFORMADO=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-07-16,05:21:00,L01-AUTOBAN,SP330,58.2,SUL,-23.195454165941,-46.90441990125,ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-16,05:57:00,L01-AUTOBAN,SP330,141.0,NORTE,-22.605245588286,-47.361942529678,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,0,0,0,0,0,NÃO INFORMADO=1|VAN/PERUA=1,LIMEIRA,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-16,13:11:00,L01-AUTOBAN,SP330,55.2,SUL,-23.215194645549,-46.885586506098,CHOQUE,CHOQUE-ELEMENTO DE DRENAGEM,NÃO INFORMADO,0,0,1,0,0,AUTOMÓVEL=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-16,14:07:00,L06-INTERVIAS,SP330,170.5,SUL,-22.35345078,-47.39503098,COLISÃO,COLISÃO-LATERAL,IMPRUDÊNCIA,3,0,0,0,0,AUTOMÓVEL=1|CAMINHÃO=1,ARARAS,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-16,15:13:00,L01-AUTOBAN,SP330,118.27,NORTE,-22.767340811092,-47.24268366138,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,BITREM/CVC=1|CARRETA=1,NOVA ODESSA,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-16,17:21:00,L01-AUTOBAN,SPM330D,106.8,NORTE,-22.840863349821,-47.169474839034,ENGAVETAMENTO,ENGAVETAMENTO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=3,SUMARÉ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-16,18:19:00,L01-AUTOBAN,SPM330E,113.0,SUL,-22.807279181437,-47.216427326202,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,0,2,0,0,0,AUTOMÓVEL=2,SUMARÉ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-16,18:47:00,L28-ENTREVIAS,SP330,408.0,SUL,-20.3490622008,-47.8127539554,COLISÃO,COLISÃO-TRASEIRA,IMPRUD. CONDUTOR-DIST. INADEQUADA ENTRE VEÍC.,1,1,0,0,0,CAMINHÃO=2,ITUVERAVA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-16,19:51:00,L01-AUTOBAN,SP330,48.4,SUL,-23.270638417303,-46.869000789066,ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-16,20:14:00,L01-AUTOBAN,SPM330D,108.8,NORTE,-22.828416374739,-47.182534953554,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=2,SUMARÉ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-16,21:58:00,L01-AUTOBAN,SP330,149.2,SUL,-22.536307217132,-47.382469995209,CHOQUE,CHOQUE-ELEMENTO DE DRENAGEM,NÃO INFORMADO,0,1,0,0,0,MOTO=1,LIMEIRA,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-17,00:08:00,L01-AUTOBAN,SP330,71.0,NORTE,-23.097521444929,-46.968086957932,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,2,3,0,0,AUTOMÓVEL=1,LOUVEIRA,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-17,06:19:00,L28-ENTREVIAS,SP330,402.5,NORTE,-20.3997943205,-47.8207562576,OBJETO LANÇADO CONTRA O VEÍCULO,OBJETO LANÇADO CONTRA VEÍCULO,OBJETO LANÇADO-TERCEIROS,1,0,0,0,0,AUTOMÓVEL=1,GUARÁ,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-17,10:53:00,L01-AUTOBAN,SP330,72.8,NORTE,-23.084064907451,-46.976863051683,ATROPELAMENTO DE PEDESTRE,ATROP. PEDESTRE-MORADOR/TRABALHADOR/ESTUDANTE,NÃO INFORMADO,1,0,0,1,0,AUTOMÓVEL=1|NÃO SE APLICA=1,LOUVEIRA,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-17,11:22:00,L28-ENTREVIAS,SP330,347.3,NORTE,-20.8793600275,-47.897705,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,FATOR-HUMANO,1,0,0,0,0,AUTOMÓVEL=1,SALES OLIVEIRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-17,13:43:00,L01-AUTOBAN,SP330,98.7,SUL,-22.890454259886,-47.112728289967,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1|CAMINHÃO=1,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-17,16:50:00,L01-AUTOBAN,SP330,149.7,NORTE,-22.532024723709,-47.38511098346,ENGAVETAMENTO,ENGAVETAMENTO,NÃO INFORMADO,0,1,0,0,0,AUTOMÓVEL=1|MOTO=1|UTILITÁRIO=1,LIMEIRA,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-17,16:53:00,L01-AUTOBAN,SP330,14.0,NORTE,-23.507052,-46.749681,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,MOTO=1|NÃO INFORMADO=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-07-17,17:38:00,L01-AUTOBAN,SP330,21.2,NORTE,-23.459173719366,-46.782422308033,ENGAVETAMENTO,ENGAVETAMENTO,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=3|NÃO INFORMADO=1,SÃO PAULO,REG. METROPOLITANA SÃO PAULO,SÃO PAULO,ESTADUAL
2020-07-17,18:01:00,L01-AUTOBAN,SP330,53.0,SUL,-23.230945296234,-46.87306702137,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=1|BITREM/CVC=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-17,18:45:00,L28-ENTREVIAS,SP330,345.3,SUL,-20.8970627291,-47.8935056885,COLISÃO,COLISÃO-TRANSVERSAL,CICLISTA NA RODOVIA,1,0,0,0,1,AUTOMÓVEL=1|NÃO INFORMADO=1,SALES OLIVEIRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-17,19:04:00,L01-AUTOBAN,SP330,115.0,SUL,-22.792453279527,-47.226313948631,ATROPELAMENTO DE PEDESTRE,ATROP. PEDESTRE-MORADOR/TRABALHADOR/ESTUDANTE,NÃO INFORMADO,0,3,0,0,0,MOTO=1|NÃO SE APLICA=1,SUMARÉ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-17,19:17:00,L01-AUTOBAN,SP330,49.2,NORTE,-23.263822823263,-46.867450475529,CHOQUE,CHOQUE-DEFENSA METÁLICA,NÃO INFORMADO,0,2,0,0,0,UTILITÁRIO=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-17,23:12:00,L29-VIAPAULISTA,SP330,302.755,SUL,-21.24927902,-47.75617599,COLISÃO,COLISÃO-TRASEIRA,NÃO INFORMADO,2,0,0,0,0,CAMINHÃO=2,RIBEIRÃO PRETO,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-07-17,23:36:00,L29-VIAPAULISTA,SP330,302.755,SUL,-21.24927902,-47.75617599,CHOQUE,CHOQUE-OBJETO NA PISTA,ACIDENTE,5,0,0,0,0,AUTOMÓVEL=1,RIBEIRÃO PRETO,RIBEIRÃO PRETO,RIBEIRÃO PRETO,ESTADUAL
2020-07-18,08:14:00,L01-AUTOBAN,SP330,98.0,SUL,-22.896245165998,-47.110952138901,TOMBAMENTO,TOMBAMENTO-MOTO,NÃO INFORMADO,0,1,0,0,0,MOTO=1,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-18,11:04:00,L01-AUTOBAN,SPM330E,86.0,SUL,-22.982950250049,-47.04378426075,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=2,VALINHOS,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-18,17:29:00,L01-AUTOBAN,SP330,84.7,SUL,-22.992230514051,-47.03721926835,COLISÃO,COLISÃO-LATERAL,NÃO INFORMADO,0,0,0,0,0,AUTOMÓVEL=2,VALINHOS,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-18,20:16:00,L01-AUTOBAN,SP330,65.0,NORTE,-23.144390043902,-46.939296126366,CHOQUE,CHOQUE-BARREIRA DE CONCRETO,NÃO INFORMADO,0,8,0,0,0,AUTOMÓVEL=2|VAN/PERUA=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-18,21:13:00,L28-ENTREVIAS,SP330,378.0,SUL,-20.600807902,-47.883557913,COLISÃO,COLISÃO-LATERAL,IMPRUD. CONDUTOR-FALTA DE ATENÇÃO,2,0,0,0,0,AUTOMÓVEL=2,SÃO JOAQUIM DA BARRA,FRANCA,RIBEIRÃO PRETO,ESTADUAL
2020-07-18,21:25:00,L06-INTERVIAS,SP330,210.0,SUL,-22.00079918,-47.44509888,COLISÃO,COLISÃO-TRANSVERSAL,IMPRUD. CONDUTOR-DESRESPEITO À SINALIZAÇÃO,2,0,0,0,0,AUTOMÓVEL=1|ÔNIBUS=1,PIRASSUNUNGA,CAMPINAS,RIO CLARO,ESTADUAL
2020-07-18,22:53:00,L01-AUTOBAN,SPM330D,51.4,NORTE,-23.244786286779,-46.867174430084,ATROPELAMENTO DE ANIMAL,ATROP. ANIMAL,NÃO INFORMADO,0,0,1,0,0,MOTO=1,JUNDIAÍ,CAMPINAS,CAMPINAS,ESTADUAL
2020-07-18,22:57:00,L01-AUTOBAN,SPM330E,97.0,SUL,-22.904379059715,-47.107846140862,TOMBAMENTO,TOMBAMENTO-MOTO,NÃO INFORMADO,0,1,0,0,0,MOTO=1,CAMPINAS,CAMPINAS,CAMPINAS,ESTADUAL
