Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SP 148;Eixo;Radial;Estadual;Santos;CGR05;Cubatão;63,100;64,530;1,430;Santos - Perímetro Urbano (A);Santos - Perímetro Urbano (B) - Cemitério;Estadual;DER;05.04;PAV; ; ;Não; ; ;Nã;Caminho do Mar; ; ; ;148SPE8039
SP 055;Eixo;Transversal;Estadual;São Vicente;CGR05;Cubatão;275,700;286,720;11,020;Divisa Municipal Cubatão / São Vicente;Divisa Municipal São Vicente / Praia Grande;Estadual;Concessionária;Ecovias;DUP; ; ;Não;29 05 1998;29 03 2034;Sim;Padre Manoel da Nobrega, Via;Dec. 52.258 de 05/08/69; ; ;055SPE0854
SP 160;Eixo;Radial;Estadual;São Vicente;CGR05;Cubatão;45,420;51,300;5,880;Divisa Municipal São Bernardo Campo / São Vicente;Divisa Municipal São Vicente / São Bernardo Campo;Estadual;Concessionária;Ecovias;DUP; ; ;Não;29 05 1998;29 03 2033;Nã;Imigrantes, Rodovia Dos;Men. Dec-Lei 005, 06/03/69; ; ;160SPE9192
SP 160;Eixo;Radial;Estadual;São Vicente;CGR05;Cubatão;63,830;65,400;1,570;Divisa Municipal Cubatão / São Vicente;Início do Trecho Pista Dupla;Estadual;Concessionária;Ecovias;DUP; ; ;Não;29 05 1998;29 03 2033;Nã;Imigrantes, Rodovia Dos;Men. Dec-Lei 005, 06/03/69; ; ;160SPE5451
SP 160;Eixo;Radial;Estadual;São Vicente;CGR05;Cubatão;65,400;69,580;4,180;Início do Trecho Pista Dupla;Divisa Municipal São Vicente / Praia Grande;Estadual;Concessionária;Ecovias;DUP; ; ;Não;29 05 1998;29 03 2033;Nã;Imigrantes, Rodovia Dos;Men. Dec-Lei 005, 06/03/69; ; ;160SPE7550
SP 098;Eixo;Radial;Estadual;Bertioga;CGR05;Cubatão;82,400;98,100;15,700;Divisa Municipal Biritiba Mirim / Bertioga;Entroncamento SP 055 (km 214);Estadual;Concessionária;Novo Litoral;PAV; ; ;Não;03 10 2024;03 10 2054;Nã;Dom Paulo Rolim Loureiro;Lei 2.990 de 16/09/81; ; ;098SPE2328
SP 270;Eixo;Radial;Estadual;Angatuba;CGR02;Itapetininga;205,270;208,500;3,230;Entroncamento SPA 205/270 / SP 268 km 217 - (Acesso Estação Fepasa);Entroncamento SP 189 (km Zero);Estadual;Concessionária;Via Raposo;DUP; ; ;Não;19 02 2026;19 02 2056;Nã;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE8720
SP 270;Eixo;Radial;Estadual;Angatuba;CGR02;Itapetininga;208,500;209,160;0,660;Entroncamento SP 189 (km Zero);Divisa Municipal Angatuba / Campina do Monte Alegre;Estadual;Concessionária;Via Raposo;DUP; ; ;Não;19 02 2026;19 02 2056;Nã;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE9362
SP 270;Eixo;Radial;Estadual;Angatuba;CGR02;Itapetininga;211,160;223,290;12,130;Divisa Municipal Campina do Monte Alegre / Angatuba;Entroncamento SPA 223 / 270 (para Aterradinho);Estadual;Concessionária;Via Raposo;PAV; ; ;Não;19 02 2026;19 02 2056;Nã;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE3129
SP 270;Eixo;Radial;Estadual;Angatuba;CGR02;Itapetininga;223,290;230,040;6,750;Entroncamento SPA 223 / 270 (para Aterradinho);Divisa Municipal Angatuba / Paranapanema;Estadual;Concessionária;Via Raposo;PAV; ; ;Não;19 02 2026;19 02 2056;Nã;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE6291
