CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L16-CART,SPA553/270,"5,170",SUL,131,PRESIDENTE PRUDENTE,ANHUMAS,EROSÃO,2022-03-28 00:00:00,2022-03-28 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"548,100",LESTE,83,ARAÇATUBA,GUARARAPES,EROSÃO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"548,400",LESTE,85,ARAÇATUBA,GUARARAPES,EROSÃO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"265,000",LESTE,284,SANTOS,CUBATAO,ALAGAMENTO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SPI040/150,"8,000",OESTE,290,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,ALAGAMENTO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP160,"40,000",SUL,301,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,ALAGAMENTO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"258,000",OESTE,308,SANTOS,SANTOS,ALAGAMENTO,2022-03-28 00:00:00,2022-03-29 00:00:00,COM INTERDIÇÃO,FAIXA 1
L29-VIAPAULISTA,SP318,"245,050",SUL,7776,CENTRAL,SAO CARLOS,EROSÃO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP257,"10,600",SUL,7870,CENTRAL,SANTA LUCIA,ALAGAMENTO,2022-03-28 00:00:00,2022-03-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"95,500",SUL,76,SOROCABA,CERQUILHO,EROSÃO,2022-03-27 00:00:00,2022-03-27 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"439,000",LESTE,8,BAURU,LINS,EROSÃO,2022-03-27 00:00:00,2022-03-27 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L22-ECOVIAS IMIGRANTES,SP055,"248,000",OESTE,133,SANTOS,SANTOS,ALAGAMENTO,2022-03-27 00:00:00,2022-03-27 00:00:00,COM INTERDIÇÃO,FAIXA 1
L25-SPMAR,SP021,"111,200",INTERNO,135,REG. METROPOLITANA SÃO PAULO,SUZANO,ALAGAMENTO,2022-03-27 00:00:00,2022-03-27 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L16-CART,SP270,"444,600",LESTE,120,MARÍLIA,ASSIS,ALAGAMENTO,2022-03-26 00:00:00,2022-03-26 00:00:00,COM INTERDIÇÃO,FAIXA 2
L19-VIARONDON,SP300,"650,300",OESTE,60,ARAÇATUBA,CASTILHO,EROSÃO,2022-03-26 00:00:00,2022-03-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"233,200",LESTE,94,SOROCABA,BOTUCATU,QUEDA DE TALUDE,2022-03-26 00:00:00,2022-03-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"285,900",OESTE,113,SANTOS,SAO VICENTE,EROSÃO,2022-03-26 00:00:00,2022-03-26 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L01-AUTOBAN,SP330,"88,760",NORTE,479,CAMPINAS,CAMPINAS,EROSÃO,2022-03-25 00:00:00,2022-03-26 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L12-VIAOESTE,SP280,"68,000",OESTE,212,SOROCABA,MAIRINQUE,EROSÃO,2022-03-25 00:00:00,2022-03-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"444,500",LESTE,89,MARÍLIA,ASSIS,ALAGAMENTO,2022-03-25 00:00:00,2022-03-25 00:00:00,COM INTERDIÇÃO,FAIXA 2
L19-VIARONDON,SP300,"578,200",LESTE,87,ARAÇATUBA,VALPARAISO,ALAGAMENTO,2022-03-25 00:00:00,2022-03-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"559,000",LESTE,89,ARAÇATUBA,GUARARAPES,ALAGAMENTO,2022-03-25 00:00:00,2022-03-25 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L20-SPVIAS,SP280,"311,300",LESTE,123,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2022-03-25 00:00:00,2022-03-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L30-EIXOSP,SPA571/294,"12,100",SUL,8453,PRESIDENTE PRUDENTE,SALMOURAO,EROSÃO,2022-03-25 00:00:00,2022-03-25 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L09-TRIÂNGULO,SP310,"287,300",NORTE,2926,CENTRAL,ARARAQUARA,EROSÃO,2022-03-24 00:00:00,2022-03-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L09-TRIÂNGULO,SP333,"98,380",OESTE,2973,RIBEIRÃO PRETO,SERTAOZINHO,EROSÃO,2022-03-24 00:00:00,2022-03-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"576,900",LESTE,52,ARAÇATUBA,VALPARAISO,EROSÃO,2022-03-24 00:00:00,2022-03-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP333,"323,000",LESTE,231175,MARÍLIA,MARILIA,ALAGAMENTO,2022-03-24 00:00:00,2022-03-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"297,700",SUL,6867,ITAPEVA,ITAI,ALAGAMENTO,2022-03-24 00:00:00,2022-03-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L30-EIXOSP,SP425,"389,300",NORTE,8145,MARÍLIA,PARAPUA,ALAGAMENTO,2022-03-24 00:00:00,2022-03-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"248,000",OESTE,38,SANTOS,SANTOS,ALAGAMENTO,2022-03-23 00:00:00,2022-03-23 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"145,720",NORTE,6265,BAURU,JAU,EROSÃO,2022-03-23 00:00:00,2022-03-23 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SPM330D,"56,700",NORTE,127,CAMPINAS,JUNDIAI,QUEDA DE TALUDE,2022-03-22 00:00:00,2022-03-22 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP332,"154,300",SUL,210,CAMPINAS,ARTUR NOGUEIRA,QUEDA DE TALUDE,2022-03-22 00:00:00,2022-03-22 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"58,800",NORTE,111,CAMPINAS,RIO DAS PEDRAS,QUEDA DE TALUDE,2022-03-22 00:00:00,2022-03-22 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP225,"289,680",OESTE,25,MARÍLIA,ESPIRITO SANTO DO TURVO,EROSÃO,2022-03-22 00:00:00,2022-03-22 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L20-SPVIAS,SP280,"200,620",OESTE,37,SOROCABA,PARDINHO,EROSÃO,2022-03-22 00:00:00,2022-03-22 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"346,300",NORTE,6090,ITAPEVA,ITAPORANGA,EROSÃO,2022-03-22 00:00:00,2022-03-22 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L20-SPVIAS,SP280,"311,300",LESTE,89,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2022-03-21 00:00:00,2022-03-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L25-SPMAR,SP021,"76,000",EXTERNO,80,REG. METROPOLITANA SÃO PAULO,SANTO ANDRE,EROSÃO,2022-03-21 00:00:00,2022-03-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L03-TEBE,SP326,"422,800",SUL,5,BARRETOS,BARRETOS,EROSÃO,2022-03-20 00:00:00,2022-03-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"43,000",NORTE,61,CAMPINAS,PIRACICABA,EROSÃO,2022-03-20 00:00:00,2022-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SPA248/055,"6,800",LESTE,82,SANTOS,SANTOS,ALAGAMENTO,2022-03-20 00:00:00,2022-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"341,700",SUL,5545,ITAPEVA,CORONEL MACEDO,EROSÃO,2022-03-20 00:00:00,2022-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"345,700",NORTE,5548,ITAPEVA,ITAPORANGA,EROSÃO,2022-03-20 00:00:00,2022-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L29-VIAPAULISTA,SP255,"346,342",NORTE,5549,ITAPEVA,ITAPORANGA,EROSÃO,2022-03-20 00:00:00,2022-03-20 00:00:00,SEM INTERDIÇÃO,NENHUM
