CONCESSIONÁRIA,RODOVIA,KM,SENTIDO,OC,REGIÃO ADMINISTRATIVA,MUNICÍPIO,EVENTO,DATA INICIAL,DATA RECUPERAÇÃO,CONDIÇÃO,LOCAIS INTERDITADOS
L28-ENTREVIAS,SP333,"294,500",LESTE,34844,BAURU,GUARANTA,EROSÃO,2018-08-19 00:00:00,2018-08-19 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L28-ENTREVIAS,SP333,"290,600",LESTE,34873,BAURU,GUARANTA,EROSÃO,2018-08-19 00:00:00,2018-08-19 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L09-TRIÂNGULO,SP310,"418,050",NORTE,2865,SÃO JOSÉ DO RIO PRETO,UCHOA,EROSÃO,2018-08-18 00:00:00,2018-08-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP330,"226,000",NORTE,2470,CENTRAL,PORTO FERREIRA,ALAGAMENTO,2018-08-17 00:00:00,2018-08-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L09-TRIÂNGULO,SP333,"83,020",LESTE,2702,RIBEIRÃO PRETO,SERTAOZINHO,ALAGAMENTO,2018-08-17 00:00:00,2018-08-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"554,900",OESTE,58,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2018-08-17 00:00:00,2018-08-17 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L16-CART,SP270,"398,870",OESTE,97,MARÍLIA,SALTO GRANDE,EROSÃO,2018-08-17 00:00:00,2018-08-17 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L19-VIARONDON,SPA607/300,"3,500",NORTE,70,ARAÇATUBA,MIRANDOPOLIS,EROSÃO,2018-08-17 00:00:00,2018-08-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP063,"2,600",LESTE,99,CAMPINAS,LOUVEIRA,EROSÃO,2018-08-16 00:00:00,2018-08-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L09-TRIÂNGULO,SP310,"287,900",NORTE,2504,CENTRAL,ARARAQUARA,EROSÃO,2018-08-16 00:00:00,2018-08-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L09-TRIÂNGULO,SP326,"375,060",NORTE,2505,RIBEIRÃO PRETO,TAQUARAL,EROSÃO,2018-08-16 00:00:00,2018-08-16 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP150,"62,000",NORTE,465,SANTOS,SANTOS,ALAGAMENTO,2018-08-16 00:00:00,2018-08-16 00:00:00,COM INTERDIÇÃO,FAIXA 1
L20-SPVIAS,SP127,"119,500",SUL,95,SOROCABA,TATUI,EROSÃO,2018-08-15 00:00:00,2018-08-15 00:00:00,SEM INTERDIÇÃO,NENHUM
L08-CENTROVIAS,SP225,"212,500",OESTE,1546,BAURU,PEDERNEIRAS,EROSÃO,2018-08-14 00:00:00,2018-08-14 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP225,"261,800",LESTE,165,BAURU,PIRATININGA,EROSÃO,2018-08-14 00:00:00,2018-08-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"597,950",LESTE,197,PRESIDENTE PRUDENTE,SANTO ANASTACIO,EROSÃO,2018-08-14 00:00:00,2018-08-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L27-TAMOIOS,SP099,"35,350",NORTE,74,SÃO JOSÉ DOS CAMPOS,PARAIBUNA,EROSÃO,2018-08-14 00:00:00,2018-08-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"99,300",LESTE,142,SOROCABA,PORTO FELIZ,EROSÃO,2018-08-13 00:00:00,2018-08-13 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"586,000",OESTE,99,ARAÇATUBA,VALPARAISO,EROSÃO,2018-08-13 00:00:00,2018-08-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP308,"133,100",NORTE,137,CAMPINAS,CAPIVARI,EROSÃO,2018-08-13 00:00:00,2018-08-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SPA607/300,"0,000",NORTE,63,ARAÇATUBA,MIRANDOPOLIS,EROSÃO,2018-08-12 00:00:00,2018-08-12 00:00:00,SEM INTERDIÇÃO,NENHUM
L09-TRIÂNGULO,SP310,"440,051",SUL,1651,SÃO JOSÉ DO RIO PRETO,SAO JOSE DO RIO PRETO,EROSÃO,2018-08-11 00:00:00,2018-08-11 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"550,600",OESTE,109,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2018-08-11 00:00:00,2018-08-11 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP055,"249,000",LESTE,283,SANTOS,SANTOS,ALAGAMENTO,2018-08-11 00:00:00,2018-08-11 00:00:00,COM INTERDIÇÃO,"FAIXA 2, ACOSTAMENTO"
L22-ECOVIAS IMIGRANTES,SP160,"70,000",SUL,285,SANTOS,PRAIA GRANDE,ALAGAMENTO,2018-08-11 00:00:00,2018-08-11 00:00:00,COM INTERDIÇÃO,FAIXA 1
L19-VIARONDON,SP300,"564,500",LESTE,10,ARAÇATUBA,BENTO DE ABREU,EROSÃO,2018-08-10 00:00:00,2018-08-10 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L22-ECOVIAS IMIGRANTES,SP160,"70,000",SUL,374,SANTOS,PRAIA GRANDE,ALAGAMENTO,2018-08-10 00:00:00,2018-08-10 00:00:00,COM INTERDIÇÃO,FAIXA 2
L07-ROTA,SP065,"43,950",SUL,72,CAMPINAS,NAZARE PAULISTA,EROSÃO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"20,000",NORTE,21,CAMPINAS,PIRACICABA,ALAGAMENTO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"597,700",LESTE,11,PRESIDENTE PRUDENTE,SANTO ANASTACIO,EROSÃO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"501,182",OESTE,92,PRESIDENTE PRUDENTE,RANCHARIA,EROSÃO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"587,960",OESTE,93,PRESIDENTE PRUDENTE,PRESIDENTE BERNARDES,QUEDA DE TALUDE,2018-08-09 00:00:00,2018-08-09 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L20-SPVIAS,SP127,"171,600",NORTE,106,SOROCABA,ITAPETININGA,EROSÃO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L20-SPVIAS,SP127,"171,400",NORTE,117,SOROCABA,ITAPETININGA,EROSÃO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP330,"365,000",SUL,33704,FRANCA,ORLANDIA,ALAGAMENTO,2018-08-09 00:00:00,2018-08-09 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP147,"138,800",OESTE,1040,CAMPINAS,PIRACICABA,QUEDA DE TALUDE,2018-08-08 00:00:00,2018-08-08 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L12-VIAOESTE,SP270,"86,140",OESTE,4,SOROCABA,SOROCABA,EROSÃO,2018-08-08 00:00:00,2018-08-08 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"639,280",LESTE,13,PRESIDENTE PRUDENTE,CAIUA,EROSÃO,2018-08-08 00:00:00,2018-08-08 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L20-SPVIAS,SP280,"169,210",LESTE,150,SOROCABA,PORANGABA,EROSÃO,2018-08-08 00:00:00,2018-08-08 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L06-INTERVIAS,SP147,"138,900",OESTE,801,CAMPINAS,PIRACICABA,QUEDA DE TALUDE,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L06-INTERVIAS,SP147,"138,900",OESTE,903,CAMPINAS,PIRACICABA,QUEDA DE TALUDE,2018-08-07 00:00:00,2018-08-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L08-CENTROVIAS,SP225,"116,600",OESTE,658,CAMPINAS,BROTAS,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L08-CENTROVIAS,SP225,"91,430",LESTE,708,CAMPINAS,ITIRAPINA,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L12-VIAOESTE,SP280,"17,100",OESTE,257,REG. METROPOLITANA SÃO PAULO,OSASCO,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L16-CART,SP270,"527,310",OESTE,62,PRESIDENTE PRUDENTE,MARTINOPOLIS,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"501,160",OESTE,122,PRESIDENTE PRUDENTE,RANCHARIA,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L16-CART,SP225,"287,100",LESTE,137,MARÍLIA,ESPIRITO SANTO DO TURVO,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"392,000",LESTE,57,BAURU,PIRAJUI,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L20-SPVIAS,SP280,"305,500",LESTE,105,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L20-SPVIAS,SP280,"309,160",OESTE,132,MARÍLIA,SANTA CRUZ DO RIO PARDO,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L21-TIETÊ,SPA241/300,"9,500",NORTE,136,SOROCABA,BOTUCATU,QUEDA DE TALUDE,2018-08-07 00:00:00,2018-08-08 00:00:00,SEM INTERDIÇÃO,NENHUM
L27-TAMOIOS,SP099,"17,000",SUL,83,SÃO JOSÉ DOS CAMPOS,JAMBEIRO,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP333,"349,750",OESTE,33445,MARÍLIA,MARILIA,EROSÃO,2018-08-07 00:00:00,2018-08-07 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L09-TRIÂNGULO,SP310,"280,900",SUL,889,CENTRAL,ARARAQUARA,EROSÃO,2018-08-06 00:00:00,2018-08-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"82,600",LESTE,63,SOROCABA,ITU,QUEDA DE TALUDE,2018-08-06 00:00:00,2018-08-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"538,570",LESTE,117,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2018-08-06 00:00:00,2018-08-06 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"652,000",LESTE,55,ARAÇATUBA,CASTILHO,ALAGAMENTO,2018-08-06 00:00:00,2018-08-06 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L19-VIARONDON,SP300,"538,000",LESTE,79,ARAÇATUBA,ARACATUBA,ALAGAMENTO,2018-08-06 00:00:00,2018-08-06 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L19-VIARONDON,SP300,"458,000",OESTE,93,BAURU,PROMISSAO,ALAGAMENTO,2018-08-06 00:00:00,2018-08-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L22-ECOVIAS IMIGRANTES,SP150,"20,000",SUL,283,REG. METROPOLITANA SÃO PAULO,SAO BERNARDO DO CAMPO,QUEDA DE TALUDE,2018-08-06 00:00:00,2018-08-06 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP333,"318,000",LESTE,33320,MARÍLIA,MARILIA,ALAGAMENTO,2018-08-06 00:00:00,2018-08-06 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO CENTRAL"
L29-VIAPAULISTA,SP255,"355,100",SUL,818,ITAPEVA,ITAPORANGA,EROSÃO,2018-08-05 00:00:00,2018-08-05 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L01-AUTOBAN,SP330,"89,120",SUL,393,CAMPINAS,CAMPINAS,EROSÃO,2018-08-04 00:00:00,2018-08-04 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP147,"89,500",LESTE,535,CAMPINAS,ENGENHEIRO COELHO,EROSÃO,2018-08-04 00:00:00,2018-08-04 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"21,118",NORTE,158,CAMPINAS,PIRACICABA,ALAGAMENTO,2018-08-04 00:00:00,2018-08-04 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SPA608/270,"1,800",SUL,41,PRESIDENTE PRUDENTE,PIQUEROBI,EROSÃO,2018-08-04 00:00:00,2018-08-04 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L20-SPVIAS,SP127,"119,600",SUL,6,SOROCABA,TATUI,EROSÃO,2018-08-04 00:00:00,2018-08-04 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L21-TIETÊ,SP101,"2,050",LESTE,96,CAMPINAS,CAMPINAS,ALAGAMENTO,2018-08-04 00:00:00,2018-08-04 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L06-INTERVIAS,SP215,"72,400",LESTE,401,CAMPINAS,SANTA CRUZ DAS PALMEIRAS,EROSÃO,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L13-COLINAS,SP280,"116,000",OESTE,52,SOROCABA,BOITUVA,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP300,"135,900",LESTE,73,SOROCABA,PORTO FELIZ,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,"FAIXA 1, CANTEIRO CENTRAL"
L13-COLINAS,SP280,"104,750",OESTE,92,SOROCABA,PORTO FELIZ,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"22,000",NORTE,187,CAMPINAS,PIRACICABA,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"540,042",OESTE,76,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2018-08-03 00:00:00,2018-08-03 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"649,100",OESTE,81,PRESIDENTE PRUDENTE,PRESIDENTE EPITACIO,EROSÃO,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"591,460",LESTE,110,PRESIDENTE PRUDENTE,PRESIDENTE BERNARDES,EROSÃO,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"375,000",OESTE,51,BAURU,AVAI,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,FAIXA 1
L19-VIARONDON,SP300,"352,000",OESTE,86,BAURU,BAURU,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,FAIXA 1
L20-SPVIAS,SP270,"130,000",OESTE,45,SOROCABA,CAPELA DO ALTO,EROSÃO,2018-08-03 00:00:00,2018-08-03 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP333,"373,000",OESTE,32946,MARÍLIA,ECHAPORA,EROSÃO,2018-08-03 00:00:00,2018-08-04 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L28-ENTREVIAS,SP333,"448,000",OESTE,32951,MARÍLIA,FLORINEA,QUEDA DE TALUDE,2018-08-03 00:00:00,2018-08-03 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L28-ENTREVIAS,SP333,"405,000",OESTE,32993,MARÍLIA,ASSIS,ALAGAMENTO,2018-08-03 00:00:00,2018-08-03 00:00:00,SEM INTERDIÇÃO,NENHUM
L08-CENTROVIAS,SP225,"158,000",OESTE,203,BAURU,DOIS CORREGOS,EROSÃO,2018-08-02 00:00:00,2018-08-02 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"538,950",LESTE,114,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2018-08-02 00:00:00,2018-08-02 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"387,700",LESTE,92,BAURU,PIRAJUI,EROSÃO,2018-08-02 00:00:00,2018-08-02 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L27-TAMOIOS,SP099,"62,000",NORTE,39,SÃO JOSÉ DOS CAMPOS,PARAIBUNA,EROSÃO,2018-08-02 00:00:00,2018-08-02 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP330,"106,100",SUL,64,CAMPINAS,SUMARE,ALAGAMENTO,2018-07-31 00:00:00,2018-07-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"128,000",NORTE,111,CAMPINAS,SANTA BARBARA D'OESTE,EROSÃO,2018-07-31 00:00:00,2018-07-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L20-SPVIAS,SP270,"144,400",OESTE,131,SOROCABA,ALAMBARI,EROSÃO,2018-07-31 00:00:00,2018-07-31 00:00:00,SEM INTERDIÇÃO,NENHUM
L07-ROTA,SP065,"92,500",SUL,196,CAMPINAS,JARINU,QUEDA DE TALUDE,2018-07-30 00:00:00,2018-07-31 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L08-CENTROVIAS,SP225,"143,400",OESTE,3289,CAMPINAS,BROTAS,EROSÃO,2018-07-30 00:00:00,2018-07-30 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SPA608/270,"1,800",SUL,156,PRESIDENTE PRUDENTE,PIQUEROBI,EROSÃO,2018-07-30 00:00:00,2018-07-30 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"602,300",LESTE,181,PRESIDENTE PRUDENTE,SANTO ANASTACIO,EROSÃO,2018-07-30 00:00:00,2018-07-30 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L01-AUTOBAN,SP330,"90,500",NORTE,41,CAMPINAS,CAMPINAS,QUEDA DE TALUDE,2018-07-29 00:00:00,2018-07-29 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"55,900",NORTE,68,CAMPINAS,RIO DAS PEDRAS,EROSÃO,2018-07-29 00:00:00,2018-07-29 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L13-COLINAS,SP127,"54,950",NORTE,70,CAMPINAS,RIO DAS PEDRAS,EROSÃO,2018-07-29 00:00:00,2018-07-29 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L13-COLINAS,SP127,"54,800",NORTE,72,CAMPINAS,RIO DAS PEDRAS,EROSÃO,2018-07-29 00:00:00,2018-07-29 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L07-ROTA,SP065,"52,500",SUL,143,CAMPINAS,NAZARE PAULISTA,EROSÃO,2018-07-28 00:00:00,2018-07-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L08-CENTROVIAS,SP225,"117,008",LESTE,3080,CAMPINAS,BROTAS,EROSÃO,2018-07-28 00:00:00,2018-07-28 00:00:00,COM INTERDIÇÃO,"ACOSTAMENTO, CANTEIRO LATERAL"
L16-CART,SP270,"529,900",LESTE,141,PRESIDENTE PRUDENTE,MARTINOPOLIS,EROSÃO,2018-07-28 00:00:00,2018-07-28 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"543,840",OESTE,109,PRESIDENTE PRUDENTE,REGENTE FEIJO,EROSÃO,2018-07-27 00:00:00,2018-07-27 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L09-TRIÂNGULO,SP333,"143,900",LESTE,3910,CENTRAL,TAQUARITINGA,EROSÃO,2018-07-26 00:00:00,2018-07-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"591,460",LESTE,192,PRESIDENTE PRUDENTE,PRESIDENTE BERNARDES,EROSÃO,2018-07-26 00:00:00,2018-07-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"462,700",LESTE,63,BAURU,PROMISSAO,EROSÃO,2018-07-26 00:00:00,2018-07-26 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"108,050",OESTE,93,SOROCABA,BOITUVA,EROSÃO,2018-07-25 00:00:00,2018-07-25 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"86,500",LESTE,59,SOROCABA,SOROCABA,EROSÃO,2018-07-24 00:00:00,2018-07-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP127,"5,500",SUL,82,CAMPINAS,RIO CLARO,EROSÃO,2018-07-24 00:00:00,2018-07-24 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L16-CART,SP270,"560,400",LESTE,116,PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,EROSÃO,2018-07-24 00:00:00,2018-07-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP101,"15,800",OESTE,3,CAMPINAS,MONTE MOR,ALAGAMENTO,2018-07-24 00:00:00,2018-07-24 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP225,"295,100",OESTE,114,MARÍLIA,ESPIRITO SANTO DO TURVO,EROSÃO,2018-07-23 00:00:00,2018-07-23 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L21-TIETÊ,SP300,"305,100",LESTE,148,BAURU,LENCOIS PAULISTA,EROSÃO,2018-07-23 00:00:00,2018-07-23 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"306,100",LESTE,151,BAURU,LENCOIS PAULISTA,EROSÃO,2018-07-23 00:00:00,2018-07-23 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP300,"304,800",LESTE,152,BAURU,LENCOIS PAULISTA,EROSÃO,2018-07-23 00:00:00,2018-07-23 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"635,290",LESTE,101,PRESIDENTE PRUDENTE,CAIUA,EROSÃO,2018-07-22 00:00:00,2018-07-22 00:00:00,SEM INTERDIÇÃO,NENHUM
L01-AUTOBAN,SP348,"50,000",SUL,118,CAMPINAS,JUNDIAI,EROSÃO,2018-07-21 00:00:00,2018-07-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L09-TRIÂNGULO,SP310,"370,800",NORTE,3114,SÃO JOSÉ DO RIO PRETO,PINDORAMA,EROSÃO,2018-07-21 00:00:00,2018-07-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SPA476/300,"8,400",NORTE,110,ARAÇATUBA,AVANHANDAVA,EROSÃO,2018-07-21 00:00:00,2018-07-21 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"629,500",LESTE,123,PRESIDENTE PRUDENTE,PRESIDENTE VENCESLAU,EROSÃO,2018-07-20 00:00:00,2018-07-20 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"598,600",LESTE,43,ARAÇATUBA,LAVINIA,EROSÃO,2018-07-20 00:00:00,2018-07-20 00:00:00,COM INTERDIÇÃO,CANTEIRO CENTRAL
L08-CENTROVIAS,SP225,"189,000",LESTE,1982,BAURU,JAU,EROSÃO,2018-07-19 00:00:00,2018-07-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L19-VIARONDON,SP300,"423,000",LESTE,69,BAURU,CAFELANDIA,EROSÃO,2018-07-19 00:00:00,2018-07-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L20-SPVIAS,SP270,"144,300",OESTE,57,SOROCABA,ALAMBARI,EROSÃO,2018-07-19 00:00:00,2018-07-19 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP191,"43,950",OESTE,2561,CAMPINAS,ARARAS,EROSÃO,2018-07-18 00:00:00,2018-07-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L06-INTERVIAS,SP191,"44,950",OESTE,2564,CAMPINAS,ARARAS,EROSÃO,2018-07-18 00:00:00,2018-07-18 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"125,100",OESTE,46,SOROCABA,BOITUVA,ALAGAMENTO,2018-07-17 00:00:00,2018-07-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L20-SPVIAS,SP270,"146,950",LESTE,42,SOROCABA,ALAMBARI,EROSÃO,2018-07-17 00:00:00,2018-07-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L21-TIETÊ,SP308,"108,050",NORTE,83,SOROCABA,SALTO,EROSÃO,2018-07-17 00:00:00,2018-07-17 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"92,900",LESTE,35,SOROCABA,SOROCABA,ALAGAMENTO,2018-07-14 00:00:00,2018-07-14 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"81,000",OESTE,121,SOROCABA,SOROCABA,ALAGAMENTO,2018-07-13 00:00:00,2018-07-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L13-COLINAS,SP280,"113,000",OESTE,127,SOROCABA,BOITUVA,ALAGAMENTO,2018-07-13 00:00:00,2018-07-13 00:00:00,SEM INTERDIÇÃO,NENHUM
L12-VIAOESTE,SP270,"34,300",LESTE,154,REG. METROPOLITANA SÃO PAULO,COTIA,EROSÃO,2018-07-12 00:00:00,2018-07-12 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L19-VIARONDON,SP300,"474,700",LESTE,28,ARAÇATUBA,AVANHANDAVA,EROSÃO,2018-07-12 00:00:00,2018-07-12 00:00:00,SEM INTERDIÇÃO,NENHUM
L28-ENTREVIAS,SP333,"357,900",OESTE,30051,MARÍLIA,ECHAPORA,EROSÃO,2018-07-12 00:00:00,2018-07-12 00:00:00,COM INTERDIÇÃO,ACOSTAMENTO
L13-COLINAS,SP280,"111,600",LESTE,148,SOROCABA,BOITUVA,ALAGAMENTO,2018-07-10 00:00:00,2018-07-10 00:00:00,SEM INTERDIÇÃO,NENHUM
L16-CART,SP270,"576,000",LESTE,180,PRESIDENTE PRUDENTE,ALVARES MACHADO,EROSÃO,2018-07-10 00:00:00,2018-07-10 00:00:00,COM INTERDIÇÃO,CANTEIRO LATERAL
L01-AUTOBAN,SP330,"116,530",NORTE,255,CAMPINAS,NOVA ODESSA,EROSÃO,2018-07-09 00:00:00,2018-07-10 00:00:00,SEM INTERDIÇÃO,NENHUM
