PERIODO,KM,severidade,risco_previsto
2025-02,102,6.0,4.867738585783984
2025-02,106,3.0,4.865331635734812
2025-11,108,18.0,4.862974085894612
2025-01,25,4.0,4.8623361964400065
2025-04,108,3.0,4.86113466562172
2025-09,61,11.0,4.8458263554073575
2025-06,20,1.0,4.840242062280899
2025-08,102,15.0,4.828303435952406
2025-06,61,3.0,4.82582871259179
2025-01,61,1.0,4.821924239081426
2025-05,26,5.0,4.815248439397491
2025-03,106,0.0,4.8090862349824155
2025-08,111,0.0,4.79997696749033
2025-05,109,0.0,4.78899256536139
2025-12,104,2.0,4.769342921223691
2025-01,12,0.0,4.758871830064675
2025-05,61,1.0,4.754566120954687
2025-04,104,2.0,4.75300385706008
2025-06,103,2.0,4.749236568967815
2025-07,103,4.0,4.7448005009754235
2025-05,25,4.0,4.739890634293896
2025-05,106,5.0,4.737578427402987
2025-07,96,4.0,4.699457117397983
2025-04,25,3.0,4.678063705779574
2025-05,24,1.0,4.677465145228798
2025-10,25,0.0,4.669631342982396
2025-08,12,5.0,4.653383486037521
2025-08,20,1.0,4.650939571808651
2025-09,25,0.0,4.650415471777897
2025-05,102,3.0,4.629476859525231
2025-06,96,4.0,4.621056594588112
2025-04,24,2.0,4.61522355772727
2025-08,103,0.0,4.606681927380045
2025-08,26,1.0,4.605269466837013
2025-05,19,1.0,4.595718080541444
2025-03,25,8.0,4.592516371286949
2025-01,108,1.0,4.590835504660613
2025-09,26,0.0,4.586023904933758
2025-07,20,1.0,4.585074407741846
2025-10,99,1.0,4.579515760760993
2025-06,24,0.0,4.578588889072045
2025-09,103,2.0,4.574918308520659
2025-01,101,1.0,4.567499512908849
2025-07,111,7.0,4.560029285798155
2025-04,109,0.0,4.55362695406809
2025-06,102,0.0,4.545126187983273
2025-04,102,1.0,4.52343077889189
2025-08,96,9.0,4.5189358500878924
2025-01,19,1.0,4.511588714254275
2025-06,62,1.0,4.508717667203993
2025-12,25,0.0,4.505866319597196
2025-08,109,1.0,4.501317025612814
2025-03,108,7.0,4.494642567885002
2025-09,12,0.0,4.483699458269597
2025-02,110,5.0,4.473454043655509
2025-12,60,5.0,4.46616002280584
2025-09,111,0.0,4.465409044420088
